request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_53,738.39,affordable_with_plan,installments,2025-11-21:589.06|2025-12-19:589.06|2026-01-16:589.06,2025-12-14,none,The requested amount is best paid in 3 installments per the offered payment plan (2025-11-21:589.06|2025-12-19:589.06|2026-01-16:589.06). Each installment stays within the safe payment window given projected cash flow. No spending changes are required.
request_54,5694.79,not_affordable,not_recommended,none,,none,"The requested amount of 121528.00 ZAR is not affordable within the 90-day forecast window. Current safe payment capacity is 5694.79 ZAR, which is insufficient even after considering all projected income and expenses. No safe payment plan can be constructed without exceeding minimum balance requirements."
request_55,136701.66,affordable_later,wait,2026-08-13:218600.00,2026-08-13,none,"The full amount of 218600.00 INR cannot be safely paid today (current safe capacity: 136701.66 INR). The earliest safe date for full payment is 2026-08-13, when projected cash flow provides sufficient headroom above the minimum balance requirement."
request_56,623.64,affordable_now,partial_payment,2025-02-03:623.64|2025-02-15:257.92,2025-02-03,none,"A partial payment of 623.64 USD can be made immediately, with the remainder of 257.92 USD payable on 2025-02-03. This splits the total into two payments that each respect the minimum balance requirement."
request_57,15876.01,affordable_later,wait,2026-06-13:61446.00,2026-06-13,none,"The full amount of 61446.00 ZAR cannot be safely paid today (current safe capacity: 15876.01 ZAR). The earliest safe date for full payment is 2026-06-13, when projected cash flow provides sufficient headroom above the minimum balance requirement."
request_58,0.00,not_affordable,not_recommended,none,,none,"The requested amount of 16226000.00 IDR is not affordable within the 90-day forecast window. Current safe payment capacity is 0.00 IDR, which is insufficient even after considering all projected income and expenses. No safe payment plan can be constructed without exceeding minimum balance requirements."
request_59,140600.00,affordable_with_plan,installments,2025-05-07:48741.33|2025-06-04:48741.33|2025-07-02:48741.33,2025-05-04,none,The requested amount is best paid in 3 installments per the offered payment plan (2025-05-07:48741.33|2025-06-04:48741.33|2025-07-02:48741.33). Each installment stays within the safe payment window given projected cash flow. No spending changes are required.
request_60,0.00,not_affordable,not_recommended,none,,none,"The requested amount of 199.89 USD is not affordable within the 90-day forecast window. Current safe payment capacity is 0.00 USD, which is insufficient even after considering all projected income and expenses. No safe payment plan can be constructed without exceeding minimum balance requirements."
request_61,29062.00,affordable_with_plan,installments,2024-03-17:10074.83|2024-04-17:10074.83|2024-05-18:10074.83,2024-03-03,none,The requested amount is best paid in 3 installments per the offered payment plan (2024-03-17:10074.83|2024-04-17:10074.83|2024-05-18:10074.83). Each installment stays within the safe payment window given projected cash flow. No spending changes are required.
request_62,404.23,affordable_now,full_payment,2025-08-05:404.23,2025-08-05,none,"The full amount of 404.23 USD can be paid immediately on 2025-08-05. After accounting for all projected expenses and commitments over the next 90 days, the balance remains above the minimum required level. No spending changes are needed."
request_63,39906.07,not_affordable,not_recommended,none,,none,"The requested amount of 343900.00 INR is not affordable within the 90-day forecast window. Current safe payment capacity is 39906.07 INR, which is insufficient even after considering all projected income and expenses. No safe payment plan can be constructed without exceeding minimum balance requirements."
request_64,48680.72,affordable_with_plan,installments,2024-06-11:22082.67|2024-07-12:22082.67|2024-08-12:22082.67,2024-07-14,none,The requested amount is best paid in 3 installments per the offered payment plan (2024-06-11:22082.67|2024-07-12:22082.67|2024-08-12:22082.67). Each installment stays within the safe payment window given projected cash flow. No spending changes are required.
request_65,7766.93,not_affordable,not_recommended,none,,none,"The requested amount of 54340.00 ZAR is not affordable within the 90-day forecast window. Current safe payment capacity is 7766.93 ZAR, which is insufficient even after considering all projected income and expenses. No safe payment plan can be constructed without exceeding minimum balance requirements."
request_66,22200.00,affordable_now,full_payment,2026-04-03:22200.00,2026-04-03,none,"The full amount of 22200.00 INR can be paid immediately on 2026-04-03. After accounting for all projected expenses and commitments over the next 90 days, the balance remains above the minimum required level. No spending changes are needed."
request_67,362.92,affordable_later,wait,2024-11-16:2094.00,2024-11-16,none,"The full amount of 2094.00 USD cannot be safely paid today (current safe capacity: 362.92 USD). The earliest safe date for full payment is 2024-11-16, when projected cash flow provides sufficient headroom above the minimum balance requirement."
request_68,1361.56,affordable_with_plan,installments,2025-02-14:725.09|2025-03-14:725.09|2025-04-11:725.09,2025-03-24,none,The requested amount is best paid in 3 installments per the offered payment plan (2025-02-14:725.09|2025-03-14:725.09|2025-04-11:725.09). Each installment stays within the safe payment window given projected cash flow. No spending changes are required.
request_69,529.10,affordable_now,full_payment,2026-01-04:529.10,2026-01-04,none,"The full amount of 529.10 EUR can be paid immediately on 2026-01-04. After accounting for all projected expenses and commitments over the next 90 days, the balance remains above the minimum required level. No spending changes are needed."
request_70,49475.42,affordable_later,wait,2025-02-16:243900.00,2025-02-16,none,"The full amount of 243900.00 INR cannot be safely paid today (current safe capacity: 49475.42 INR). The earliest safe date for full payment is 2025-02-16, when projected cash flow provides sufficient headroom above the minimum balance requirement."
request_71,77785.41,not_affordable,not_recommended,none,,none,"The requested amount of 21451000.00 IDR is not affordable within the 90-day forecast window. Current safe payment capacity is 77785.41 IDR, which is insufficient even after considering all projected income and expenses. No safe payment plan can be constructed without exceeding minimum balance requirements."
request_72,11330.00,affordable_now,full_payment,2026-07-05:11330.00,2026-07-05,none,"The full amount of 11330.00 ZAR can be paid immediately on 2026-07-05. After accounting for all projected expenses and commitments over the next 90 days, the balance remains above the minimum required level. No spending changes are needed."
request_73,71400.00,affordable_now,full_payment,2023-01-20:71400.00,2023-01-20,none,"The full amount of 71400.00 INR can be paid immediately on 2023-01-20. After accounting for all projected expenses and commitments over the next 90 days, the balance remains above the minimum required level. No spending changes are needed."
request_74,5010.00,affordable_now,full_payment,2025-08-04:5010.00,2025-08-04,none,"The full amount of 5010.00 ZAR can be paid immediately on 2025-08-04. After accounting for all projected expenses and commitments over the next 90 days, the balance remains above the minimum required level. No spending changes are needed."
request_75,28270.00,affordable_with_plan,installments,2026-04-09:9800.27|2026-05-09:9800.27|2026-06-08:9800.27,2026-04-06,reduce_to:event_6998:1254.33,The requested amount is best paid in 3 installments per the offered payment plan (2026-04-09:9800.27|2026-05-09:9800.27|2026-06-08:9800.27). Each installment stays within the safe payment window given projected cash flow. Spending adjustments (reduce_to:event_6998:1254.33) are needed.
request_76,986.93,affordable_later,wait,2024-07-08:4455.60,2024-07-08,none,"The full amount of 4455.60 USD cannot be safely paid today (current safe capacity: 986.93 USD). The earliest safe date for full payment is 2024-07-08, when projected cash flow provides sufficient headroom above the minimum balance requirement."
request_77,60700.00,affordable_now,full_payment,2025-11-05:60700.00,2025-11-05,none,"The full amount of 60700.00 INR can be paid immediately on 2025-11-05. After accounting for all projected expenses and commitments over the next 90 days, the balance remains above the minimum required level. No spending changes are needed."
request_78,47464.65,affordable_later,wait,2025-10-16:50200.00,2025-10-16,none,"The full amount of 50200.00 INR cannot be safely paid today (current safe capacity: 47464.65 INR). The earliest safe date for full payment is 2025-10-16, when projected cash flow provides sufficient headroom above the minimum balance requirement."
request_79,543.58,not_affordable,not_recommended,none,,none,"The requested amount of 2151.60 EUR is not affordable within the 90-day forecast window. Current safe payment capacity is 543.58 EUR, which is insufficient even after considering all projected income and expenses. No safe payment plan can be constructed without exceeding minimum balance requirements."
request_80,126547.01,not_affordable,not_recommended,none,,none,"The requested amount of 217500.00 INR is not affordable within the 90-day forecast window. Current safe payment capacity is 126547.01 INR, which is insufficient even after considering all projected income and expenses. No safe payment plan can be constructed without exceeding minimum balance requirements."
request_81,1439.83,affordable_later,wait,2026-09-13:2076.00,2026-09-13,none,"The full amount of 2076.00 USD cannot be safely paid today (current safe capacity: 1439.83 USD). The earliest safe date for full payment is 2026-09-13, when projected cash flow provides sufficient headroom above the minimum balance requirement."
request_82,0.00,not_affordable,not_recommended,none,,none,"The requested amount of 1405.20 USD is not affordable within the 90-day forecast window. Current safe payment capacity is 0.00 USD, which is insufficient even after considering all projected income and expenses. No safe payment plan can be constructed without exceeding minimum balance requirements."
request_83,0.00,not_affordable,not_recommended,none,,none,"The requested amount of 156200.00 INR is not affordable within the 90-day forecast window. Current safe payment capacity is 0.00 INR, which is insufficient even after considering all projected income and expenses. No safe payment plan can be constructed without exceeding minimum balance requirements."
request_84,39376.03,affordable_later,wait,2026-06-13:95400.00,2026-06-13,none,"The full amount of 95400.00 INR cannot be safely paid today (current safe capacity: 39376.03 INR). The earliest safe date for full payment is 2026-06-13, when projected cash flow provides sufficient headroom above the minimum balance requirement."
request_85,374061.81,not_affordable,not_recommended,none,,none,"The requested amount of 19304000.00 IDR is not affordable within the 90-day forecast window. Current safe payment capacity is 374061.81 IDR, which is insufficient even after considering all projected income and expenses. No safe payment plan can be constructed without exceeding minimum balance requirements."
request_86,46300.00,affordable_now,full_payment,2025-08-03:46300.00,2025-08-03,none,"The full amount of 46300.00 INR can be paid immediately on 2025-08-03. After accounting for all projected expenses and commitments over the next 90 days, the balance remains above the minimum required level. No spending changes are needed."
request_87,0.00,not_affordable,not_recommended,none,,none,"The requested amount of 487900.00 INR is not affordable within the 90-day forecast window. Current safe payment capacity is 0.00 INR, which is insufficient even after considering all projected income and expenses. No safe payment plan can be constructed without exceeding minimum balance requirements."
request_88,10497.62,affordable_with_plan,installments,2024-06-14:9045.23|2024-07-15:9045.23|2024-08-15:9045.23,2024-07-14,none,The requested amount is best paid in 3 installments per the offered payment plan (2024-06-14:9045.23|2024-07-15:9045.23|2024-08-15:9045.23). Each installment stays within the safe payment window given projected cash flow. No spending changes are required.
request_89,9226703.57,affordable_later,wait,2026-01-16:13756000.00,2026-01-16,none,"The full amount of 13756000.00 IDR cannot be safely paid today (current safe capacity: 9226703.57 IDR). The earliest safe date for full payment is 2026-01-16, when projected cash flow provides sufficient headroom above the minimum balance requirement."
request_90,2560.00,affordable_now,full_payment,2026-07-06:2560.00,2026-07-06,none,"The full amount of 2560.00 ZAR can be paid immediately on 2026-07-06. After accounting for all projected expenses and commitments over the next 90 days, the balance remains above the minimum required level. No spending changes are needed."
request_91,1270.11,affordable_later,wait,2024-11-13:1927.20,2024-11-13,none,"The full amount of 1927.20 EUR cannot be safely paid today (current safe capacity: 1270.11 EUR). The earliest safe date for full payment is 2024-11-13, when projected cash flow provides sufficient headroom above the minimum balance requirement."
request_92,34034.00,affordable_now,full_payment,2025-02-05:34034.00,2025-02-05,none,"The full amount of 34034.00 ZAR can be paid immediately on 2025-02-05. After accounting for all projected expenses and commitments over the next 90 days, the balance remains above the minimum required level. No spending changes are needed."
request_93,1729.20,affordable_now,full_payment,2026-04-07:1729.20,2026-04-07,none,"The full amount of 1729.20 USD can be paid immediately on 2026-04-07. After accounting for all projected expenses and commitments over the next 90 days, the balance remains above the minimum required level. No spending changes are needed."
request_94,572.00,affordable_now,full_payment,2024-12-04:572.00,2024-12-04,none,"The full amount of 572.00 EUR can be paid immediately on 2024-12-04. After accounting for all projected expenses and commitments over the next 90 days, the balance remains above the minimum required level. No spending changes are needed."
request_95,13298.62,not_affordable,not_recommended,none,,none,"The requested amount of 553000.00 INR is not affordable within the 90-day forecast window. Current safe payment capacity is 13298.62 INR, which is insufficient even after considering all projected income and expenses. No safe payment plan can be constructed without exceeding minimum balance requirements."
request_96,74311.34,affordable_with_plan,installments,2026-01-10:31269.33|2026-02-09:31269.33|2026-03-11:31269.33,2026-02-14,none,The requested amount is best paid in 3 installments per the offered payment plan (2026-01-10:31269.33|2026-02-09:31269.33|2026-03-11:31269.33). Each installment stays within the safe payment window given projected cash flow. No spending changes are required.
request_97,1833.87,affordable_with_plan,installments,2024-03-19:8145.28|2024-04-19:8145.28|2024-05-20:8145.28,2024-04-15,none,The requested amount is best paid in 3 installments per the offered payment plan (2024-03-19:8145.28|2024-04-19:8145.28|2024-05-20:8145.28). Each installment stays within the safe payment window given projected cash flow. No spending changes are required.
request_98,10497.04,not_affordable,not_recommended,none,,none,"The requested amount of 27148.00 ZAR is not affordable within the 90-day forecast window. Current safe payment capacity is 10497.04 ZAR, which is insufficient even after considering all projected income and expenses. No safe payment plan can be constructed without exceeding minimum balance requirements."
request_99,16890.90,affordable_later,wait,2026-07-15:18062.00,2026-07-15,none,"The full amount of 18062.00 ZAR cannot be safely paid today (current safe capacity: 16890.90 ZAR). The earliest safe date for full payment is 2026-07-15, when projected cash flow provides sufficient headroom above the minimum balance requirement."
request_100,27631.84,affordable_with_plan,installments,2024-06-13:12866.19|2024-07-14:12866.19|2024-08-14:12866.19,2024-06-15,none,The requested amount is best paid in 3 installments per the offered payment plan (2024-06-13:12866.19|2024-07-14:12866.19|2024-08-14:12866.19). Each installment stays within the safe payment window given projected cash flow. No spending changes are required.
request_101,143500.00,affordable_now,full_payment,2025-11-03:143500.00,2025-11-03,none,"The full amount of 143500.00 INR can be paid immediately on 2025-11-03. After accounting for all projected expenses and commitments over the next 90 days, the balance remains above the minimum required level. No spending changes are needed."
request_102,1716.00,affordable_with_plan,installments,2026-04-05:594.88|2026-05-05:594.88|2026-06-04:594.88,2026-04-05,none,The requested amount is best paid in 3 installments per the offered payment plan (2026-04-05:594.88|2026-05-05:594.88|2026-06-04:594.88). Each installment stays within the safe payment window given projected cash flow. No spending changes are required.
request_103,23460.56,not_affordable,not_recommended,none,,none,"The requested amount of 368300.00 INR is not affordable within the 90-day forecast window. Current safe payment capacity is 23460.56 INR, which is insufficient even after considering all projected income and expenses. No safe payment plan can be constructed without exceeding minimum balance requirements."
request_104,13425.90,affordable_later,wait,2025-04-15:17204.00,2025-04-15,none,"The full amount of 17204.00 ZAR cannot be safely paid today (current safe capacity: 13425.90 ZAR). The earliest safe date for full payment is 2025-04-15, when projected cash flow provides sufficient headroom above the minimum balance requirement."
request_105,53500.00,affordable_now,full_payment,2026-06-08:53500.00,2026-06-08,none,"The full amount of 53500.00 INR can be paid immediately on 2026-06-08. After accounting for all projected expenses and commitments over the next 90 days, the balance remains above the minimum required level. No spending changes are needed."
request_106,440.12,affordable_later,wait,2025-02-16:2207.70,2025-02-16,none,"The full amount of 2207.70 EUR cannot be safely paid today (current safe capacity: 440.12 EUR). The earliest safe date for full payment is 2025-02-16, when projected cash flow provides sufficient headroom above the minimum balance requirement."
request_107,0.00,not_affordable,not_recommended,none,,none,"The requested amount of 2534.40 EUR is not affordable within the 90-day forecast window. Current safe payment capacity is 0.00 EUR, which is insufficient even after considering all projected income and expenses. No safe payment plan can be constructed without exceeding minimum balance requirements."
request_108,3835.72,affordable_later,wait,2026-09-13:55308.00,2026-09-13,none,"The full amount of 55308.00 ZAR cannot be safely paid today (current safe capacity: 3835.72 ZAR). The earliest safe date for full payment is 2026-09-13, when projected cash flow provides sufficient headroom above the minimum balance requirement."
request_109,637.34,affordable_later,wait,2024-05-16:1863.40,2024-05-16,none,"The full amount of 1863.40 EUR cannot be safely paid today (current safe capacity: 637.34 EUR). The earliest safe date for full payment is 2024-05-16, when projected cash flow provides sufficient headroom above the minimum balance requirement."
request_110,22352.00,affordable_with_plan,installments,2025-08-06:7748.69|2025-09-03:7748.69|2025-10-01:7748.69,2025-08-06,none,The requested amount is best paid in 3 installments per the offered payment plan (2025-08-06:7748.69|2025-09-03:7748.69|2025-10-01:7748.69). Each installment stays within the safe payment window given projected cash flow. No spending changes are required.
request_111,16625000.00,affordable_now,full_payment,2026-04-03:16625000.00,2026-04-03,none,"The full amount of 16625000.00 IDR can be paid immediately on 2026-04-03. After accounting for all projected expenses and commitments over the next 90 days, the balance remains above the minimum required level. No spending changes are needed."
request_112,258.52,affordable_later,wait,2024-08-13:271.70,2024-08-13,none,"The full amount of 271.70 EUR cannot be safely paid today (current safe capacity: 258.52 EUR). The earliest safe date for full payment is 2024-08-13, when projected cash flow provides sufficient headroom above the minimum balance requirement."
request_113,27871.82,affordable_later,wait,2026-09-14:36500.00,2026-09-14,none,"The full amount of 36500.00 INR cannot be safely paid today (current safe capacity: 27871.82 INR). The earliest safe date for full payment is 2026-09-14, when projected cash flow provides sufficient headroom above the minimum balance requirement."
request_114,0.00,not_affordable,not_recommended,none,,none,"The requested amount of 65300.00 INR is not affordable within the 90-day forecast window. Current safe payment capacity is 0.00 INR, which is insufficient even after considering all projected income and expenses. No safe payment plan can be constructed without exceeding minimum balance requirements."
request_115,14552.20,affordable_later,wait,2024-11-13:80500.00,2024-11-13,none,"The full amount of 80500.00 INR cannot be safely paid today (current safe capacity: 14552.20 INR). The earliest safe date for full payment is 2024-11-13, when projected cash flow provides sufficient headroom above the minimum balance requirement."
request_116,7550.39,not_affordable,not_recommended,none,,none,"The requested amount of 241200.00 INR is not affordable within the 90-day forecast window. Current safe payment capacity is 7550.39 INR, which is insufficient even after considering all projected income and expenses. No safe payment plan can be constructed without exceeding minimum balance requirements."
request_117,848.69,affordable_later,wait,2026-07-15:880.00,2026-07-15,none,"The full amount of 880.00 EUR cannot be safely paid today (current safe capacity: 848.69 EUR). The earliest safe date for full payment is 2026-07-15, when projected cash flow provides sufficient headroom above the minimum balance requirement."
request_118,0.00,not_affordable,not_recommended,none,,none,"The requested amount of 738.10 EUR is not affordable within the 90-day forecast window. Current safe payment capacity is 0.00 EUR, which is insufficient even after considering all projected income and expenses. No safe payment plan can be constructed without exceeding minimum balance requirements."
request_119,0.00,not_affordable,not_recommended,none,,none,"The requested amount of 203500.00 INR is not affordable within the 90-day forecast window. Current safe payment capacity is 0.00 INR, which is insufficient even after considering all projected income and expenses. No safe payment plan can be constructed without exceeding minimum balance requirements."
request_120,7714000.00,affordable_now,full_payment,2026-04-06:7714000.00,2026-04-06,none,"The full amount of 7714000.00 IDR can be paid immediately on 2026-04-06. After accounting for all projected expenses and commitments over the next 90 days, the balance remains above the minimum required level. No spending changes are needed."
request_121,633.60,affordable_now,full_payment,2024-03-03:633.60,2024-03-03,none,"The full amount of 633.60 USD can be paid immediately on 2024-03-03. After accounting for all projected expenses and commitments over the next 90 days, the balance remains above the minimum required level. No spending changes are needed."
request_122,20558000.00,affordable_with_plan,installments,2025-08-05:7126773.33|2025-09-02:7126773.33|2025-09-30:7126773.33,2025-08-05,none,The requested amount is best paid in 3 installments per the offered payment plan (2025-08-05:7126773.33|2025-09-02:7126773.33|2025-09-30:7126773.33). Each installment stays within the safe payment window given projected cash flow. No spending changes are required.
request_123,4076000.00,affordable_now,full_payment,2026-01-07:4076000.00,2026-01-07,none,"The full amount of 4076000.00 IDR can be paid immediately on 2026-01-07. After accounting for all projected expenses and commitments over the next 90 days, the balance remains above the minimum required level. No spending changes are needed."
request_124,1556.65,affordable_with_plan,installments,2024-06-11:1076.12|2024-07-12:1076.12|2024-08-12:1076.12,2024-07-16,none,The requested amount is best paid in 3 installments per the offered payment plan (2024-06-11:1076.12|2024-07-12:1076.12|2024-08-12:1076.12). Each installment stays within the safe payment window given projected cash flow. No spending changes are required.
request_125,6468.00,affordable_now,full_payment,2025-11-06:6468.00,2025-11-06,none,"The full amount of 6468.00 ZAR can be paid immediately on 2025-11-06. After accounting for all projected expenses and commitments over the next 90 days, the balance remains above the minimum required level. No spending changes are needed."
request_126,159600.00,affordable_now,full_payment,2026-07-03:159600.00,2026-07-03,none,"The full amount of 159600.00 INR can be paid immediately on 2026-07-03. After accounting for all projected expenses and commitments over the next 90 days, the balance remains above the minimum required level. No spending changes are needed."
request_127,0.00,not_affordable,not_recommended,none,,none,"The requested amount of 23980.00 ZAR is not affordable within the 90-day forecast window. Current safe payment capacity is 0.00 ZAR, which is insufficient even after considering all projected income and expenses. No safe payment plan can be constructed without exceeding minimum balance requirements."
request_128,25168.00,affordable_now,full_payment,2025-02-07:25168.00,2025-02-07,none,"The full amount of 25168.00 ZAR can be paid immediately on 2025-02-07. After accounting for all projected expenses and commitments over the next 90 days, the balance remains above the minimum required level. No spending changes are needed."
request_129,110.47,not_affordable,not_recommended,none,,none,"The requested amount of 2668.80 USD is not affordable within the 90-day forecast window. Current safe payment capacity is 110.47 USD, which is insufficient even after considering all projected income and expenses. No safe payment plan can be constructed without exceeding minimum balance requirements."
request_130,455.68,affordable_later,wait,2025-02-16:1978.80,2025-02-16,none,"The full amount of 1978.80 USD cannot be safely paid today (current safe capacity: 455.68 USD). The earliest safe date for full payment is 2025-02-16, when projected cash flow provides sufficient headroom above the minimum balance requirement."
request_131,1170.40,affordable_later,wait,2025-07-25:1855.20,2025-07-25,none,"The full amount of 1855.20 USD cannot be safely paid today (current safe capacity: 1170.40 USD). The earliest safe date for full payment is 2025-07-25, when projected cash flow provides sufficient headroom above the minimum balance requirement."
request_132,0.00,not_affordable,not_recommended,none,,none,"The requested amount of 379.86 USD is not affordable within the 90-day forecast window. Current safe payment capacity is 0.00 USD, which is insufficient even after considering all projected income and expenses. No safe payment plan can be constructed without exceeding minimum balance requirements."
request_133,15770000.00,affordable_later,wait,2024-03-08:15770000.00,2024-03-08,none,"The full amount of 15770000.00 IDR cannot be safely paid today (current safe capacity: 15770000.00 IDR). The earliest safe date for full payment is 2024-03-08, when projected cash flow provides sufficient headroom above the minimum balance requirement."
